institution_name,state,city,institution_type,public_private,estimated_alumni_base,enrollment_size,research_focus,advancement_office_title,estimated_annual_advancement_budget,key_metrics_opportunity,beachhead_segment
Harvard University,MA,Cambridge,R1,Private Not-for-Profit,45000,22500,Comprehensive research across all fields,VP of Development,2000000,Companies founded - capital raised - executive positions,Research Universities (R1/R2)
Stanford University,CA,Palo Alto,R1,Private Not-for-Profit,42000,17500,Engineering - computer science - medicine - business,VP for University Advancement,1500000,Startups - venture capital - exits - leadership,Research Universities (R1/R2)
MIT,MA,Cambridge,R1,Private Not-for-Profit,35000,11500,Engineering - computer science - physical sciences,VP of Development,1800000,Tech companies - venture capital - entrepreneurship,Research Universities (R1/R2)
Yale University,CT,New Haven,R1,Private Not-for-Profit,38000,13000,Liberal arts - sciences - engineering - professional schools,Senior VP for Development,1600000,Executive leadership - companies - capital,Research Universities (R1/R2)
Princeton University,NJ,Princeton,R1,Private Not-for-Profit,28000,8500,Arts and sciences - engineering - public policy,VP for Development,1400000,Leadership - entrepreneurship - exits,Research Universities (R1/R2)
Duke University,NC,Durham,R1,Private Not-for-Profit,32000,15000,Medicine - engineering - sciences - humanities,VP for Institutional Advancement,1200000,Medical innovations - leadership - capital,Research Universities (R1/R2)
University of Chicago,IL,Chicago,R1,Private Not-for-Profit,28000,17000,Physical sciences - social sciences - humanities,VP for Strategic Initiatives,1100000,Leadership - research - entrepreneurship,Research Universities (R1/R2)
Northwestern University,IL,Evanston,R1,Private Not-for-Profit,35000,20000,Engineering - medicine - business - journalism,VP of Development,1300000,Companies - leadership - capital raised,Research Universities (R1/R2)
Johns Hopkins University,MD,Baltimore,R1,Private Not-for-Profit,32000,24000,Medicine - engineering - public health - sciences,VP for Institutional Advancement,1400000,Medical breakthroughs - leadership - research,Research Universities (R1/R2)
University of Pennsylvania,PA,Philadelphia,R1,Private Not-for-Profit,38000,25000,Medicine - engineering - business - law,VP for Development,1300000,Entrepreneurs - capital - leadership,Research Universities (R1/R2)
Columbia University,NY,New York,R1,Private Not-for-Profit,42000,33000,Comprehensive doctoral research,VP for University Development,1500000,Startups - capital - leadership - exits,Research Universities (R1/R2)
California Institute of Technology,CA,Pasadena,R1,Private Not-for-Profit,20000,1250,Engineering - physical sciences - chemistry,VP for Institutional Advancement,1200000,Tech startups - venture capital - exits,Research Universities (R1/R2)
University of California Berkeley,CA,Berkeley,R1,Public,68000,42000,All research disciplines,VP for University Development,900000,Tech companies - startups - capital,Research Universities (R1/R2)
University of Michigan,MI,Ann Arbor,R1,Public,58000,47000,Engineering - medicine - business - sciences,VP for Development,800000,Auto industry - companies - leadership,Research Universities (R1/R2)
University of Illinois Urbana-Champaign,IL,Urbana,R1,Public,52000,48000,Engineering - sciences - business - education,VP for Institutional Advancement,700000,Tech companies - startups - research,Research Universities (R1/R2)
University of Texas at Austin,TX,Austin,R1,Public,72000,52000,Engineering - business - sciences - liberal arts,VP for Development,750000,Tech startups - companies - capital,Research Universities (R1/R2)
University of Wisconsin Madison,WI,Madison,R1,Public,48000,45000,Engineering - medicine - sciences,VP for University Advancement,650000,Life sciences - leadership - research,Research Universities (R1/R2)
University of Washington,WA,Seattle,R1,Public,62000,48000,Medicine - engineering - sciences - business,VP for University Development,700000,Medical research - companies - capital,Research Universities (R1/R2)
University of Pennsylvania,PA,Philadelphia,R1,Private Not-for-Profit,38000,25000,Medicine - engineering - law - business,VP for Development,1300000,Entrepreneurs - capital - leadership,Research Universities (R1/R2)
Ohio State University,OH,Columbus,R1,Public,72000,61000,All research disciplines,VP for Research,800000,Life sciences - companies - leadership,Research Universities (R1/R2)
University of Southern California,CA,Los Angeles,R1,Private Not-for-Profit,48000,20000,Engineering - business - film - sciences,VP for University Advancement,1000000,Entertainment - tech - leadership - capital,Research Universities (R1/R2)
UCLA,CA,Los Angeles,R1,Public,65000,45000,All research disciplines,Vice Chancellor for Development,750000,Tech - entertainment - leadership - research,Research Universities (R1/R2)
University of Minnesota Twin Cities,MN,Minneapolis,R1,Public,58000,51000,Medicine - engineering - sciences - agriculture,VP for University Relations,650000,Medical research - companies - leadership,Research Universities (R1/R2)
Michigan State University,MI,East Lansing,R1,Public,52000,50000,Agriculture - engineering - medicine - sciences,VP for University Advancement,600000,Agricultural innovation - leadership - research,Research Universities (R1/R2)
University of New York at Buffalo,NY,Buffalo,R1,Public,48000,30000,Engineering - medicine - sciences - business,VP for University Advancement,500000,Life sciences - companies - leadership,Research Universities (R1/R2)
Indiana University Bloomington,IN,Bloomington,R1,Public,42000,43000,Business - music - sciences - engineering,VP for Institutional Advancement,550000,Business leaders - entrepreneurs - capital,Research Universities (R1/R2)
University of Colorado Boulder,CO,Boulder,R1,Public,52000,35000,Engineering - sciences - business - law,VP for University Relations,600000,Tech companies - leadership - research,Research Universities (R1/R2)
University of Georgia,GA,Athens,R1,Public,48000,39000,Agriculture - engineering - sciences - business,VP for Development and Alumni Relations,500000,Agricultural innovation - leadership - companies,Research Universities (R1/R2)
North Carolina State University,NC,Raleigh,R1,Public,52000,36000,Engineering - agriculture - sciences - business,VP for Research and Innovation,550000,Tech - agriculture - leadership - companies,Research Universities (R1/R2)
University of Florida,FL,Gainesville,R1,Public,62000,52000,Medicine - engineering - agriculture - sciences,VP for University Relations,600000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Arizona,AZ,Tucson,R1,Public,48000,45000,Engineering - sciences - business - agriculture,VP for University Advancement,500000,Tech - agriculture - research - leadership,Research Universities (R1/R2)
University of Virginia,VA,Charlottesville,R1,Public,48000,28000,Medicine - engineering - business - law,VP for Development,700000,Tech - leadership - companies - capital,Research Universities (R1/R2)
University of Maryland College Park,MD,College Park,R1,Public,50000,41000,Engineering - sciences - business - agriculture,VP for Institutional Advancement,600000,Tech - agriculture - leadership - research,Research Universities (R1/R2)
University of Southern California,CA,Los Angeles,R1,Private Not-for-Profit,48000,20000,Engineering - business - medicine - sciences,VP for University Advancement,1000000,Entertainment - tech - leadership - capital,Research Universities (R1/R2)
Emory University,GA,Atlanta,R1,Private Not-for-Profit,32000,14000,Medicine - business - law - sciences,VP for Campaign Leadership,1100000,Medical breakthroughs - leadership - companies,Research Universities (R1/R2)
Cornell University,NY,Ithaca,R1,Private Not-for-Profit,38000,25000,Engineering - agriculture - sciences - business,VP of University Relations,1100000,Tech - agriculture - leadership - capital,Research Universities (R1/R2)
Penn State University,PA,University Park,R1,Public,58000,46000,Engineering - sciences - business - agriculture,VP for Development and Alumni Relations,700000,Tech - agriculture - companies - leadership,Research Universities (R1/R2)
Purdue University,IN,West Lafayette,R1,Public,52000,43000,Engineering - sciences - agriculture - business,VP for Development,650000,Tech - engineering - companies - leadership,Research Universities (R1/R2)
University of Texas at Austin,TX,Austin,R1,Public,72000,52000,Engineering - business - sciences - liberal arts,VP for Development,750000,Tech startups - companies - capital,Research Universities (R1/R2)
University of Pittsburgh,PA,Pittsburgh,R1,Private Not-for-Profit,38000,28000,Medicine - engineering - sciences - business,VP for Development,900000,Medical innovations - tech - leadership,Research Universities (R1/R2)
Rice University,TX,Houston,R1,Private Not-for-Profit,24000,7500,Engineering - sciences - business - liberal arts,VP for University Relations,1000000,Tech entrepreneurs - capital - leadership,Research Universities (R1/R2)
New York University,NY,New York,R1,Private Not-for-Profit,48000,50000,Business - law - medicine - arts - sciences,Senior VP for Advancement,1200000,Entrepreneurs - companies - leadership - capital,Research Universities (R1/R2)
University of Rochester,NY,Rochester,R1,Private Not-for-Profit,26000,12000,Engineering - sciences - business - medicine,VP for Advancement,700000,Tech companies - leadership - research,Research Universities (R1/R2)
Case Western Reserve University,OH,Cleveland,R1,Private Not-for-Profit,22000,12000,Engineering - medicine - sciences - business,VP for University Relations,600000,Medical innovations - tech - leadership,Research Universities (R1/R2)
University of Notre Dame,IN,Notre Dame,R1,Private Not-for-Profit,32000,12000,Engineering - law - business - sciences,VP of University Relations,1100000,Leadership - entrepreneurs - capital - companies,Research Universities (R1/R2)
Vanderbilt University,TN,Nashville,R1,Private Not-for-Profit,30000,14000,Medicine - business - engineering - sciences,VP for University Advancement,900000,Medical breakthroughs - leadership - companies,Research Universities (R1/R2)
Tufts University,MA,Medford,R1,Private Not-for-Profit,28000,12000,Medicine - engineering - sciences - policy,VP for Development,800000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Southern Methodist University,TX,Dallas,R1,Private Not-for-Profit,24000,12000,Business - engineering - law - sciences,VP for Institutional Advancement,700000,Business leaders - entrepreneurs - capital,Research Universities (R1/R2)
Washington University in St Louis,MO,St Louis,R1,Private Not-for-Profit,28000,15000,Medicine - engineering - business - sciences,VP for Development,800000,Medical innovations - tech - leadership,Research Universities (R1/R2)
Brandeis University,MA,Waltham,R1,Private Not-for-Profit,20000,6000,Sciences - business - social sciences - humanities,VP for Institutional Advancement,500000,Research - leadership - companies,Research Universities (R1/R2)
University of California San Diego,CA,San Diego,R1,Public,58000,32000,Engineering - sciences - medicine - business,Vice Chancellor for Development,600000,Tech companies - medical research - leadership,Research Universities (R1/R2)
University of California Irvine,CA,Irvine,R1,Public,48000,30000,Engineering - sciences - medicine - business,VP for Institutional Advancement,500000,Tech companies - medical research - leadership,Research Universities (R1/R2)
University of California Davis,CA,Davis,R1,Public,48000,38000,Agriculture - engineering - sciences - medicine,VP for Institutional Advancement,500000,Agricultural innovation - medical research - tech,Research Universities (R1/R2)
University of California Santa Barbara,CA,Santa Barbara,R1,Public,38000,24000,Sciences - engineering - liberal arts,Vice Chancellor for Development,500000,Physics - technology - research - leadership,Research Universities (R1/R2)
Texas A&M University,TX,College Station,R1,Public,62000,70000,Engineering - agriculture - medicine - sciences,VP for Advancement,600000,Engineering - agriculture - tech - leadership,Research Universities (R1/R2)
University of Houston,TX,Houston,R1,Public,48000,46000,Engineering - medicine - business - sciences,VP for Advancement,500000,Energy - tech - medical research - leadership,Research Universities (R1/R2)
Arizona State University,AZ,Tempe,R1,Public,62000,70000,All research disciplines,VP for Advancement,700000,Tech - engineering - business - leadership,Research Universities (R1/R2)
Virginia Commonwealth University,VA,Richmond,R1,Public,38000,31000,Medicine - engineering - sciences - business,VP for Advancement,450000,Medical innovations - tech - leadership,Research Universities (R1/R2)
Temple University,PA,Philadelphia,R1,Public,32000,37000,Medicine - engineering - business - sciences,VP for Institutional Advancement,400000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Nevada Las Vegas,NV,Las Vegas,R1,Public,32000,31000,Engineering - sciences - business - hospitality,VP for Advancement,400000,Hospitality - tech - leadership,Research Universities (R1/R2)
University of New Mexico,NM,Albuquerque,R1,Public,32000,26000,Engineering - sciences - medicine - business,VP for Advancement,350000,Energy - tech - medical research - leadership,Research Universities (R1/R2)
University of Wyoming,WY,Laramie,R1,Public,22000,12000,Engineering - sciences - agriculture - business,VP for Development,300000,Energy - agriculture - tech - leadership,Research Universities (R1/R2)
University of Kansas,KS,Lawrence,R1,Public,32000,27000,Engineering - medicine - sciences - business,VP for Development,350000,Medical research - tech - leadership,Research Universities (R1/R2)
Iowa State University,IA,Ames,R1,Public,42000,36000,Engineering - agriculture - sciences - business,VP for Advancement,400000,Agriculture - engineering - tech - leadership,Research Universities (R1/R2)
University of Iowa,IA,Iowa City,R1,Public,36000,32000,Medicine - engineering - sciences - business,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Missouri,MO,Columbia,R1,Public,42000,35000,Engineering - medicine - business - sciences,VP for Development,450000,Engineering - medical research - tech - leadership,Research Universities (R1/R2)
University of Nebraska Lincoln,NE,Lincoln,R1,Public,38000,25000,Engineering - agriculture - sciences - business,VP for Development,350000,Agriculture - tech - leadership,Research Universities (R1/R2)
Oregon State University,OR,Corvallis,R1,Public,38000,33000,Engineering - agriculture - sciences - business,VP for Advancement,400000,Agriculture - engineering - tech - leadership,Research Universities (R1/R2)
University of Oregon,OR,Eugene,R1,Public,32000,23000,Business - engineering - sciences - education,VP for Advancement,350000,Tech - business - leadership,Research Universities (R1/R2)
Washington State University,WA,Pullman,R1,Public,38000,31000,Engineering - agriculture - sciences - business,VP for Development,400000,Agriculture - tech - engineering - leadership,Research Universities (R1/R2)
University of Oklahoma,OK,Norman,R1,Public,38000,28000,Engineering - medicine - business - sciences,VP for Development,400000,Energy - medical research - leadership,Research Universities (R1/R2)
University of Arkansas,AR,Fayetteville,R1,Public,32000,28000,Engineering - agriculture - business - sciences,VP for Development,350000,Agriculture - engineering - leadership,Research Universities (R1/R2)
Auburn University,AL,Auburn,R1,Public,38000,30000,Engineering - agriculture - sciences - business,VP for Development,400000,Engineering - agriculture - tech - leadership,Research Universities (R1/R2)
University of Alabama,AL,Tuscaloosa,R1,Public,42000,38000,Engineering - medicine - business - sciences,VP for Development,450000,Engineering - medical research - leadership,Research Universities (R1/R2)
University of South Carolina,SC,Columbia,R1,Public,38000,34000,Engineering - medicine - business - sciences,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
Clemson University,SC,Clemson,R1,Public,36000,28000,Engineering - agriculture - sciences - business,VP for Advancement,350000,Engineering - agriculture - tech - leadership,Research Universities (R1/R2)
Georgia Institute of Technology,GA,Atlanta,R1,Public,48000,28000,Engineering - sciences - management - architecture,VP for Advancement,700000,Tech startups - engineering - capital,Research Universities (R1/R2)
University of Kentucky,KY,Lexington,R1,Public,36000,30000,Medicine - engineering - sciences - business,VP for Advancement,350000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Tennessee Knoxville,TN,Knoxville,R1,Public,38000,30000,Engineering - medicine - sciences - business,VP for Advancement,400000,Medical research - tech - leadership,Research Universities (R1/R2)
Rutgers University,NJ,New Brunswick,R1,Public,52000,50000,All research disciplines,VP for University Relations,650000,Tech - medical research - leadership,Research Universities (R1/R2)
University of Connecticut,CT,Storrs,R1,Public,38000,31000,Engineering - medicine - business - sciences,VP for Development,400000,Tech - medical research - leadership,Research Universities (R1/R2)
University of Massachusetts Amherst,MA,Amherst,R1,Public,36000,31000,Engineering - sciences - business - education,VP for Development,350000,Tech - leadership,Research Universities (R1/R2)
Boston University,MA,Boston,R1,Private Not-for-Profit,34000,36000,Engineering - medicine - business - sciences,VP for Development,700000,Medical research - tech - leadership,Research Universities (R1/R2)
Northeastern University,MA,Boston,R1,Private Not-for-Profit,32000,34000,Engineering - medicine - business - technology,VP for Institutional Advancement,600000,Tech entrepreneurs - companies - capital,Research Universities (R1/R2)
University of Delaware,DE,Newark,R1,Public,28000,23000,Engineering - sciences - business - education,VP for Development,300000,Tech - leadership,Research Universities (R1/R2)
Carnegie Mellon University,PA,Pittsburgh,R1,Private Not-for-Profit,26000,15000,Engineering - computer science - business - drama,VP for Advancement,900000,Tech startups - capital - companies,Research Universities (R1/R2)
University of Pennsylvania,PA,Philadelphia,R1,Private Not-for-Profit,38000,25000,Medicine - engineering - law - business,VP for Development,1300000,Entrepreneurs - capital - leadership,Research Universities (R1/R2)
George Washington University,DC,Washington,R1,Private Not-for-Profit,26000,27000,Medicine - engineering - business - law,VP for Institutional Advancement,600000,Leadership - entrepreneurs - government,Research Universities (R1/R2)
Georgetown University,DC,Washington,R1,Private Not-for-Profit,28000,18000,Medicine - law - business - sciences,VP for Advancement,700000,Legal leaders - entrepreneurs - government,Research Universities (R1/R2)
Howard University,DC,Washington,R1,Private Not-for-Profit,24000,10500,Medicine - law - engineering - sciences,VP for Advancement,300000,Medical leaders - entrepreneurs - leadership,Research Universities (R1/R2)
American University,DC,Washington,R1,Private Not-for-Profit,20000,13000,Business - law - engineering - sciences,VP for Development,400000,Government leaders - entrepreneurs,Research Universities (R1/R2)
University of Miami,FL,Coral Gables,R1,Private Not-for-Profit,24000,18000,Medicine - law - business - sciences,VP for Development,500000,Medical research - leadership - capital,Research Universities (R1/R2)
Florida International University,FL,Miami,R1,Public,36000,58000,Engineering - medicine - business - sciences,VP for Advancement,400000,Tech - leadership,Research Universities (R1/R2)
University of South Florida,FL,Tampa,R1,Public,40000,47000,Medicine - engineering - business - sciences,VP for Advancement,450000,Medical research - tech - leadership,Research Universities (R1/R2)
Georgia State University,GA,Atlanta,R1,Public,38000,53000,Business - engineering - sciences - education,VP for Advancement,400000,Business leaders - tech - leadership,Research Universities (R1/R2)
University of Tennessee Health Science Center,TN,Memphis,R1,Public,18000,3500,Medicine - health sciences,VP for Development,250000,Medical innovations - leadership,Research Universities (R1/R2)
University of Utah,UT,Salt Lake City,R1,Public,38000,33000,Medicine - engineering - sciences - business,VP for Development,400000,Medical research - tech - leadership,Research Universities (R1/R2)
University of Hawaii Manoa,HI,Honolulu,R1,Public,28000,20000,Sciences - engineering - agriculture,VP for Research and Development,350000,Research - tech - leadership,Research Universities (R1/R2)
University of Idaho,ID,Moscow,R1,Public,22000,12000,Engineering - sciences - business - agriculture,VP for Development,250000,Agriculture - tech - leadership,Research Universities (R1/R2)
Montana State University,MT,Bozeman,R1,Public,22000,16000,Engineering - agriculture - sciences,VP for Development,250000,Agriculture - engineering - tech,Research Universities (R1/R2)
University of Montana,MT,Missoula,R1,Public,18000,11000,Sciences - business - education - engineering,VP for Development,200000,Leadership - tech,Research Universities (R1/R2)
University of South Dakota,SD,Vermillion,R1,Public,18000,10000,Medicine - engineering - sciences,VP for Development,180000,Medical research - leadership,Research Universities (R1/R2)
South Dakota State University,SD,Brookings,R1,Public,20000,12000,Engineering - agriculture - sciences - business,VP for Development,200000,Agriculture - tech - leadership,Research Universities (R1/R2)
University of North Dakota,ND,Grand Forks,R1,Public,18000,11000,Engineering - sciences - medicine - business,VP for Development,180000,Medical research - tech - leadership,Research Universities (R1/R2)
North Dakota State University,ND,Fargo,R1,Public,20000,14000,Engineering - agriculture - sciences - business,VP for Development,200000,Agriculture - engineering - tech,Research Universities (R1/R2)
Colorado State University,CO,Fort Collins,R1,Public,36000,33000,Agriculture - engineering - sciences - veterinary,VP for Development,400000,Agriculture - tech - veterinary medicine,Research Universities (R1/R2)
